ACC,Added column,F1 macro,F1 micro,F1 weighted,Feature Selection,Features,Features with FS,Hyperparameter estimation,Model,Model Params,Outliers,Outliers records,Recall macro,Recall micro,Recall weighted,Records
0.7175,yes,0.7114460059171598,0.7175,0.7202311390532544,cor,21.0,64.0,nothing,Logistic Regression,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=110,
                   multi_class='auto', n_jobs=None, penalty='l1',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)",iqr,1200.0,0.7301117575798939,0.7175,0.7175,1999.0
0.615,yes,0.6040202058803854,0.615,0.6200389991665913,cor,21.0,64.0,randomized search,Logistic Regression,"LogisticRegression(C=24420.53094548655, class_weight=None, dual=False,
                   fit_intercept=True, intercept_scaling=1, l1_ratio=0,
                   max_iter=110, multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='saga', tol=0.0001, verbose=0,
                   warm_start=False)",iqr,1200.0,0.6049378725849314,0.615,0.615,1999.0
0.615,yes,0.6040202058803854,0.615,0.6200389991665913,cor,21.0,64.0,grid search,Logistic Regression,"LogisticRegression(C=0.0013894954943731374, class_weight=None, dual=False,
                   fit_intercept=True, intercept_scaling=1, l1_ratio=0,
                   max_iter=110, multi_class='auto', n_jobs=None,
                   penalty='elasticnet', random_state=None, solver='saga',
                   tol=0.0001, verbose=0, warm_start=False)",iqr,1200.0,0.6049378725849314,0.615,0.615,1999.0
0.6375,yes,0.6381446993502831,0.6375,0.6321363156583969,cor,21.0,64.0,nothing,Neural Net,"MLPClassifier(activation='relu', alpha=1, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(100,), learning_rate='constant',
              learning_rate_init=0.001, max_iter=1000, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=None, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",iqr,1200.0,0.6750945286145564,0.6375,0.6375,1999.0
0.655,yes,0.6217056512509574,0.655,0.6834981161712982,cor,21.0,64.0,randomized search,Neural Net,"MLPClassifier(activation='relu', alpha=0.001, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=13, learning_rate='constant',
              learning_rate_init=0.001, max_iter=2500, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=1, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",iqr,1200.0,0.6543389724310776,0.655,0.655,1999.0
0.7175,yes,0.715750689331273,0.7175,0.7169141576661074,cor,21.0,64.0,grid search,Neural Net,"MLPClassifier(activation='relu', alpha=0.01, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=10, learning_rate='constant',
              learning_rate_init=0.001, max_iter=1000, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=6, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",iqr,1200.0,0.7196926999561073,0.7175,0.7175,1999.0
0.575,yes,0.57103088027746,0.575,0.5742363428313879,cor,21.0,64.0,nothing,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=5, max_features=1, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=10,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",iqr,1200.0,0.5720068672630343,0.575,0.575,1999.0
0.8725,yes,0.8711051422839344,0.8725,0.8725566997518611,cor,21.0,64.0,randomized search,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=34, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=25,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",iqr,1200.0,0.8717328474402395,0.8725,0.8725,1999.0
0.83,yes,0.8293341579055864,0.83,0.8287083075654504,cor,21.0,64.0,grid search,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=50, max_features='sqrt', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=56,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",iqr,1200.0,0.8312623150733289,0.83,0.83,1999.0
0.235,yes,0.09514170040485831,0.235,0.38056680161943324,cor,21.0,64.0,nothing,SVM Sigmoid,"SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",iqr,1200.0,0.05875,0.235,0.235,1999.0
0.235,yes,0.09514170040485831,0.235,0.38056680161943324,cor,21.0,64.0,randomized search,SVM Sigmoid,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",iqr,1200.0,0.05875,0.235,0.235,1999.0
0.235,yes,0.09514170040485831,0.235,0.38056680161943324,cor,21.0,64.0,grid search,SVM Sigmoid,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",iqr,1200.0,0.05875,0.235,0.235,1999.0
0.97,yes,0.9697887798339424,0.97,0.9700044971576309,cor,21.0,64.0,nothing,SVM RBF,"SVC(C=0.025, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='auto_deprecated',
    kernel='linear', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",iqr,1200.0,0.9700909018578192,0.97,0.97,1999.0
0.4025,yes,0.3824772771887113,0.4025,0.4246523905327333,cor,21.0,64.0,randomized search,SVM RBF,"SVC(C=1000, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=4, gamma=0.00017433288221999874,
    kernel='rbf', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",iqr,1200.0,0.792914979757085,0.4025,0.4025,1999.0
0.6475,yes,0.6484356064779111,0.6475,0.6501582948226576,cor,21.0,64.0,grid search,SVM RBF,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=0.0001, kernel='rbf',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",iqr,1200.0,0.7823532466208662,0.6475,0.6475,1999.0
0.235,yes,0.09514170040485831,0.235,0.38056680161943324,cor,21.0,64.0,nothing,QDA,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma=2, kernel='rbf', max_iter=-1,
    probability=False, random_state=None, shrinking=True, tol=0.001,
    verbose=False)",iqr,1200.0,0.05875,0.235,0.235,1999.0
0.455,yes,0.3275615688659167,0.455,0.5704466403162055,cor,21.0,64.0,nothing,Naive Bayes,"QuadraticDiscriminantAnalysis(priors=None, reg_param=0.0,
                              store_covariance=False, tol=0.0001)",iqr,1200.0,0.26626908262151194,0.455,0.455,1999.0
0.7725,yes,0.762220083272368,0.7725000000000001,0.7787395681403827,cor,21.0,64.0,nothing,Linear Discriminant Analysis,"GaussianNB(priors=None, var_smoothing=1e-09)",iqr,1200.0,0.7636742754996129,0.7725,0.7725,1999.0
0.7575,yes,0.7575316120092495,0.7575,0.755356923252007,cor,21.0,64.0,nothing,Gaussian Process,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
                           solver='svd', store_covariance=False, tol=0.0001)",iqr,1200.0,0.7605122246918569,0.7575,0.7575,1999.0
0.255,yes,0.10159362549800798,0.255,0.40637450199203184,cor,21.0,64.0,nothing,SVM Linear,"GaussianProcessClassifier(copy_X_train=True, kernel=1**2 * RBF(length_scale=1),
                          max_iter_predict=100, multi_class='one_vs_rest',
                          n_jobs=None, n_restarts_optimizer=0,
                          optimizer='fmin_l_bfgs_b', random_state=None,
                          warm_start=False)",iqr,1200.0,0.06375,0.255,0.255,1999.0
0.76,yes,0.7568571248013867,0.76,0.7601159811497905,vif,21.0,62.0,nothing,AdaBoost,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None, learning_rate=1.0,
                   n_estimators=50, random_state=None)",iqr,1200.0,0.778445666940159,0.76,0.76,1999.0
0.7075,yes,0.6924462111950114,0.7075,0.7180498360962015,vif,21.0,62.0,randomized search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.3,
                   n_estimators=96, random_state=None)",iqr,1200.0,0.7071787152286817,0.7075,0.7075,1999.0
0.705,yes,0.6898762922222164,0.705,0.7155326299554869,vif,21.0,62.0,grid search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.3,
                   n_estimators=58, random_state=None)",iqr,1200.0,0.7031226342638527,0.705,0.705,1999.0
0.7975,yes,0.7949218023316519,0.7975,0.7980156378228087,vif,21.0,62.0,nothing,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=5,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",iqr,1200.0,0.7958264458394031,0.7975,0.7975,1999.0
0.66,yes,0.660052835741038,0.66,0.6564270599250936,vif,21.0,62.0,randomized search,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=50,
                       max_features='sqrt', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=55,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",iqr,1200.0,0.6853470111448835,0.66,0.66,1999.0
0.7575,yes,0.75456283617212,0.7575,0.7575800509861048,vif,21.0,62.0,grid search,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=150,
                       max_features='sqrt', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",iqr,1200.0,0.7545832070451943,0.7575,0.7575,1999.0
0.61,yes,0.6033944304285839,0.61,0.6121795669852638,vif,21.0,62.0,nothing,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",iqr,1200.0,0.6046693985951603,0.61,0.61,1999.0
0.77,yes,0.7645301588823075,0.7699999999999999,0.771855402545742,vif,21.0,62.0,randomized search,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=77, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",iqr,1200.0,0.7642278511300888,0.77,0.77,1999.0
0.7375,yes,0.7326530178829549,0.7375,0.7385009294173205,vif,21.0,62.0,grid search,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=42, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",iqr,1200.0,0.7335414913598186,0.7375,0.7375,1999.0
0.7325,yes,0.7314860526583213,0.7325,0.7303559216087259,vif,21.0,62.0,nothing,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=5, p=2,
                     weights='uniform')",iqr,1200.0,0.7348580586080586,0.7325,0.7325,1999.0
0.76,yes,0.760050975177305,0.76,0.7568611005572443,vif,21.0,62.0,randomized search,Nearest Neighbors,"KNeighborsClassifier(algorithm='brute', leaf_size=1, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=12, p=2,
                     weights='uniform')",iqr,1200.0,0.7670454026870139,0.76,0.76,1999.0
0.75,yes,0.7488506619338501,0.75,0.7481822204609999,vif,21.0,62.0,grid search,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=1, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=7, p=2,
                     weights='uniform')",iqr,1200.0,0.7517465296720616,0.75,0.75,1999.0
0.8125,yes,0.8082705572127107,0.8125,0.8129323912725442,vif,21.0,62.0,nothing,Logistic Regression,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=110,
                   multi_class='auto', n_jobs=None, penalty='l1',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)",iqr,1200.0,0.8081025685127852,0.8125,0.8125,1999.0
0.495,yes,0.4430922106315318,0.495,0.5369044824518748,vif,21.0,62.0,randomized search,Logistic Regression,"LogisticRegression(C=0.001757510624854793, class_weight=None, dual=False,
                   fit_intercept=True, intercept_scaling=1, l1_ratio=1,
                   max_iter=110, multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='saga', tol=0.0001, verbose=0,
                   warm_start=False)",iqr,1200.0,0.45406032597893065,0.495,0.495,1999.0
0.495,yes,0.4430922106315318,0.495,0.5369044824518748,vif,21.0,62.0,grid search,Logistic Regression,"LogisticRegression(C=0.0013894954943731374, class_weight=None, dual=False,
                   fit_intercept=True, intercept_scaling=1, l1_ratio=0,
                   max_iter=110, multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='saga', tol=0.0001, verbose=0,
                   warm_start=False)",iqr,1200.0,0.45406032597893065,0.495,0.495,1999.0
0.46,yes,0.34361039752688644,0.46,0.5715608481734662,vif,21.0,62.0,nothing,Neural Net,"MLPClassifier(activation='relu', alpha=1, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(100,), learning_rate='constant',
              learning_rate_init=0.001, max_iter=1000, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=None, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",iqr,1200.0,0.47711406743940993,0.46,0.46,1999.0
0.765,yes,0.7649491760760787,0.765,0.7622163029525033,vif,21.0,62.0,randomized search,Neural Net,"MLPClassifier(activation='relu', alpha=0.001, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=10, learning_rate='constant',
              learning_rate_init=0.001, max_iter=2000, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=9, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",iqr,1200.0,0.7711045807006278,0.765,0.765,1999.0
0.7375,yes,0.7368303766466873,0.7375,0.7344797445534028,vif,21.0,62.0,grid search,Neural Net,"MLPClassifier(activation='relu', alpha=0.001, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=10, learning_rate='constant',
              learning_rate_init=0.001, max_iter=1000, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=0, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",iqr,1200.0,0.7431459456692376,0.7375,0.7375,1999.0
0.505,yes,0.49119179896619863,0.505,0.5137097987376574,vif,21.0,62.0,nothing,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=5, max_features=1, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=10,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",iqr,1200.0,0.4883635669185138,0.505,0.505,1999.0
0.86,yes,0.8582252535366452,0.8599999999999999,0.860131318511191,vif,21.0,62.0,randomized search,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=36, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=61,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",iqr,1200.0,0.8588982530166375,0.86,0.86,1999.0
0.8275,yes,0.825805266756546,0.8275,0.8269582846028084,vif,21.0,62.0,grid search,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=38, max_features='sqrt', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=50,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",iqr,1200.0,0.8271139286980301,0.8275,0.8275,1999.0
0.235,yes,0.09514170040485831,0.235,0.38056680161943324,vif,21.0,62.0,nothing,SVM Sigmoid,"SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",iqr,1200.0,0.05875,0.235,0.235,1999.0
0.235,yes,0.09514170040485831,0.235,0.38056680161943324,vif,21.0,62.0,randomized search,SVM Sigmoid,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",iqr,1200.0,0.05875,0.235,0.235,1999.0
0.235,yes,0.09514170040485831,0.235,0.38056680161943324,vif,21.0,62.0,grid search,SVM Sigmoid,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",iqr,1200.0,0.05875,0.235,0.235,1999.0
0.865,yes,0.8634641290642006,0.865,0.8647023186984211,vif,21.0,62.0,nothing,SVM RBF,"SVC(C=0.025, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='auto_deprecated',
    kernel='linear', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",iqr,1200.0,0.8640380390622648,0.865,0.865,1999.0
0.7,yes,0.700938205083202,0.7,0.695566019832178,vif,21.0,62.0,randomized search,SVM RBF,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=2, gamma=0.0003039195382313198,
    kernel='rbf', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",iqr,1200.0,0.7085881681352038,0.7,0.7,1999.0
0.7475,yes,0.7475677685647354,0.7475,0.7447692979625193,vif,21.0,62.0,grid search,SVM RBF,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=0.0001, kernel='rbf',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",iqr,1200.0,0.751990796149212,0.7475,0.7475,1999.0
0.235,yes,0.09514170040485831,0.235,0.38056680161943324,vif,21.0,62.0,nothing,QDA,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma=2, kernel='rbf', max_iter=-1,
    probability=False, random_state=None, shrinking=True, tol=0.001,
    verbose=False)",iqr,1200.0,0.05875,0.235,0.235,1999.0
0.525,yes,0.355078614479095,0.525,0.6815063951248067,vif,21.0,62.0,nothing,Naive Bayes,"QuadraticDiscriminantAnalysis(priors=None, reg_param=0.0,
                              store_covariance=False, tol=0.0001)",iqr,1200.0,0.47160256410256407,0.525,0.525,1999.0
0.72,yes,0.684234351197895,0.72,0.7487805532474726,vif,21.0,62.0,nothing,Linear Discriminant Analysis,"GaussianNB(priors=None, var_smoothing=1e-09)",iqr,1200.0,0.7124472923497757,0.72,0.72,1999.0
0.7625,yes,0.762615108833034,0.7625,0.7603616932928601,vif,21.0,62.0,nothing,Gaussian Process,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
                           solver='svd', store_covariance=False, tol=0.0001)",iqr,1200.0,0.7658384406394135,0.7625,0.7625,1999.0
0.255,yes,0.10159362549800798,0.255,0.40637450199203184,vif,21.0,62.0,nothing,SVM Linear,"GaussianProcessClassifier(copy_X_train=True, kernel=1**2 * RBF(length_scale=1),
                          max_iter_predict=100, multi_class='one_vs_rest',
                          n_jobs=None, n_restarts_optimizer=0,
                          optimizer='fmin_l_bfgs_b', random_state=None,
                          warm_start=False)",iqr,1200.0,0.06375,0.255,0.255,1999.0
0.83,yes,0.8293553525442858,0.83,0.8288408672857162,cor,21.0,62.0,nothing,AdaBoost,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None, learning_rate=1.0,
                   n_estimators=50, random_state=None)",z_score,1600.0,0.8311476794506798,0.83,0.83,1999.0
0.7075,yes,0.6918258300743221,0.7075,0.7185964735350965,cor,21.0,62.0,randomized search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.3,
                   n_estimators=90, random_state=None)",z_score,1600.0,0.7087797412140632,0.7075,0.7075,1999.0
