ACC,F1 macro,F1 micro,F1 weighted,Feature Selection,Features,Features with FS,Hyperparameter estimation,Model,Model Params,Outliers,Outliers records,Recall macro,Recall micro,Recall weighted,Records
0.8775,0.8747274894418454,0.8775,0.876633155570529,cor,21.0,21.0,randomized search,Nearest Neighbors,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=3, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=14, p=2,
                     weights='uniform')",iqr,387.0,0.8856231381173226,0.8775,0.8775,1999.0
0.8975,0.8960135162278733,0.8975,0.8966447306432351,cor,21.0,21.0,grid search,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=1, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=7, p=2,
                     weights='uniform')",iqr,387.0,0.8999758014885366,0.8975,0.8975,1999.0
0.7625,0.7582453196552034,0.7625,0.7603166528239202,cor,21.0,21.0,nothing,Logistic Regression,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=110,
                   multi_class='auto', n_jobs=None, penalty='l1',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)",iqr,387.0,0.776778897729602,0.7625,0.7625,1999.0
0.605,0.6031478611167269,0.605,0.600169410936646,cor,21.0,21.0,randomized search,Logistic Regression,"LogisticRegression(C=39069.39937054621, class_weight=None, dual=False,
                   fit_intercept=True, intercept_scaling=1, l1_ratio=1,
                   max_iter=110, multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='saga', tol=0.0001, verbose=0,
                   warm_start=False)",iqr,387.0,0.6089050751879699,0.605,0.605,1999.0
0.605,0.6024552111643099,0.605,0.6007794220797115,cor,21.0,21.0,grid search,Logistic Regression,"LogisticRegression(C=4.094915062380427e-05, class_weight=None, dual=False,
                   fit_intercept=True, intercept_scaling=1, l1_ratio=1,
                   max_iter=110, multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='saga', tol=0.0001, verbose=0,
                   warm_start=False)",iqr,387.0,0.607481580693908,0.605,0.605,1999.0
0.6325,0.6072126339819455,0.6325,0.6486974663717294,cor,21.0,21.0,nothing,Neural Net,"MLPClassifier(activation='relu', alpha=1, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(100,), learning_rate='constant',
              learning_rate_init=0.001, max_iter=1000, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=None, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",iqr,387.0,0.6119333644550102,0.6325,0.6325,1999.0
0.66,0.6539493330444177,0.66,0.6586657548344474,cor,21.0,21.0,randomized search,Neural Net,"MLPClassifier(activation='relu', alpha=0.1, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=11, learning_rate='constant',
              learning_rate_init=0.001, max_iter=2500, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=9, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",iqr,387.0,0.6998651823719758,0.66,0.66,1999.0
0.645,0.6460782944494212,0.645,0.637501218032359,cor,21.0,21.0,grid search,Neural Net,"MLPClassifier(activation='relu', alpha=0.1, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=10, learning_rate='constant',
              learning_rate_init=0.001, max_iter=1000, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=3, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",iqr,387.0,0.674786043449638,0.645,0.645,1999.0
0.43,0.42962714354466935,0.42999999999999994,0.4261762582638871,cor,21.0,21.0,nothing,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=5, max_features=1, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=10,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",iqr,387.0,0.47040764788015654,0.43,0.43,1999.0
0.85,0.8482893894658601,0.85,0.8480719378660556,cor,21.0,21.0,randomized search,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=21, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=42,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",iqr,387.0,0.8574437070785453,0.85,0.85,1999.0
0.845,0.8432041158171811,0.845,0.8430547977985163,cor,21.0,21.0,grid search,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=38, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=38,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",iqr,387.0,0.8523143503044517,0.845,0.845,1999.0
0.2525,0.10079840319361277,0.2525,0.4031936127744511,cor,21.0,21.0,nothing,SVM Sigmoid,"SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",iqr,387.0,0.063125,0.2525,0.2525,1999.0
0.2525,0.10079840319361277,0.2525,0.4031936127744511,cor,21.0,21.0,randomized search,SVM Sigmoid,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",iqr,387.0,0.063125,0.2525,0.2525,1999.0
0.2525,0.10079840319361277,0.2525,0.4031936127744511,cor,21.0,21.0,grid search,SVM Sigmoid,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",iqr,387.0,0.063125,0.2525,0.2525,1999.0
0.9725,0.9725382424475166,0.9725,0.972385102211759,cor,21.0,21.0,nothing,SVM Linear,"SVC(C=0.025, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='auto_deprecated',
    kernel='linear', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",iqr,387.0,0.9730939545629573,0.9725,0.9725,1999.0
0.9725,0.9722084008173412,0.9725,0.9724087274377683,cor,21.0,21.0,randomized search,SVM Linear,"SVC(C=0.001, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=6, gamma='auto_deprecated',
    kernel='linear', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",iqr,387.0,0.9730947104730706,0.9725,0.9725,1999.0
0.9725,0.9722084008173412,0.9725,0.9724087274377683,cor,21.0,21.0,grid search,SVM Linear,"SVC(C=0.001, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma='auto_deprecated',
    kernel='linear', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",iqr,387.0,0.9730947104730706,0.9725,0.9725,1999.0
0.2525,0.10079840319361277,0.2525,0.4031936127744511,cor,21.0,21.0,nothing,SVM RBF,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma=2, kernel='rbf', max_iter=-1,
    probability=False, random_state=None, shrinking=True, tol=0.001,
    verbose=False)",iqr,387.0,0.063125,0.2525,0.2525,1999.0
0.2525,0.10079840319361277,0.2525,0.4031936127744511,cor,21.0,21.0,randomized search,SVM RBF,"SVC(C=0.1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=5, gamma=35.622478902624444,
    kernel='rbf', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",iqr,387.0,0.063125,0.2525,0.2525,1999.0
0.3575,0.2876163043887333,0.3575,0.4233827168425636,cor,21.0,21.0,grid search,SVM RBF,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=0.0001, kernel='rbf',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",iqr,387.0,0.7915152015862525,0.3575,0.3575,1999.0
0.5825,0.5258018996237022,0.5825,0.6288331708754589,cor,21.0,21.0,nothing,QDA,"QuadraticDiscriminantAnalysis(priors=None, reg_param=0.0,
                              store_covariance=False, tol=0.0001)",iqr,387.0,0.5749309758946586,0.5825,0.5825,1999.0
0.4275,0.4169493009271295,0.4275,0.4392230570746336,cor,21.0,21.0,nothing,Naive Bayes,"GaussianNB(priors=None, var_smoothing=1e-09)",iqr,387.0,0.6742235447275433,0.4275,0.4275,1999.0
0.8725,0.8710618210639851,0.8725,0.8701930369801701,cor,21.0,21.0,nothing,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
                           solver='svd', store_covariance=False, tol=0.0001)",iqr,387.0,0.8906746031746031,0.8725,0.8725,1999.0
0.4825,0.39668072688273154,0.4825,0.5806612511196039,vif,21.0,21.0,nothing,AdaBoost,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None, learning_rate=1.0,
                   n_estimators=50, random_state=None)",iqr,387.0,0.6452169625246549,0.4825,0.4825,1999.0
0.6725,0.6114851102682961,0.6725,0.7223504354544178,vif,21.0,21.0,randomized search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.01,
                   n_estimators=141, random_state=None)",iqr,387.0,0.6646807313642756,0.6725,0.6725,1999.0
0.71,0.6873960049291907,0.7100000000000001,0.7259941944731767,vif,21.0,21.0,grid search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.05,
                   n_estimators=61, random_state=None)",iqr,387.0,0.705857142857143,0.71,0.71,1999.0
0.825,0.8227376182512981,0.825,0.8235758446608034,vif,21.0,21.0,nothing,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=5,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",iqr,387.0,0.8302591390272354,0.825,0.825,1999.0
0.5575,0.557493666109395,0.5575,0.5540833261829106,vif,21.0,21.0,randomized search,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=90,
                       max_features='log2', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",iqr,387.0,0.5692328434396051,0.5575,0.5575,1999.0
0.6475,0.6458850596694321,0.6475,0.6448201816985127,vif,21.0,21.0,grid search,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=9,
                       max_features='sqrt', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",iqr,387.0,0.6499462121347563,0.6475,0.6475,1999.0
0.445,0.4307743700604104,0.445,0.4531053058231479,vif,21.0,21.0,nothing,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",iqr,387.0,0.4849072637678514,0.445,0.445,1999.0
0.59,0.5880675860285556,0.59,0.5843081216395298,vif,21.0,21.0,randomized search,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=36, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",iqr,387.0,0.6340708517396523,0.59,0.59,1999.0
0.5675,0.5704220235982645,0.5675,0.5608532978176314,vif,21.0,21.0,grid search,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=30, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",iqr,387.0,0.6017425982025104,0.5675,0.5675,1999.0
0.89,0.88871371048171,0.89,0.8889752173828631,vif,21.0,21.0,nothing,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=5, p=2,
                     weights='uniform')",iqr,387.0,0.8926203027305551,0.89,0.89,1999.0
0.8975,0.8957247482656823,0.8975,0.896749505861028,vif,21.0,21.0,randomized search,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=5, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=13, p=2,
                     weights='uniform')",iqr,387.0,0.900539003696496,0.8975,0.8975,1999.0
0.8975,0.8960135162278733,0.8975,0.8966447306432351,vif,21.0,21.0,grid search,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=1, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=7, p=2,
                     weights='uniform')",iqr,387.0,0.8999758014885366,0.8975,0.8975,1999.0
0.7625,0.7582453196552034,0.7625,0.7603166528239202,vif,21.0,21.0,nothing,Logistic Regression,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=110,
                   multi_class='auto', n_jobs=None, penalty='l1',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)",iqr,387.0,0.776778897729602,0.7625,0.7625,1999.0
0.6075,0.6058690789999202,0.6075,0.6023243669622174,vif,21.0,21.0,randomized search,Logistic Regression,"LogisticRegression(C=0.00016768329368110083, class_weight=None, dual=False,
                   fit_intercept=True, intercept_scaling=1, l1_ratio=1,
                   max_iter=110, multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='saga', tol=0.0001, verbose=0,
                   warm_start=False)",iqr,387.0,0.6122796613831816,0.6075,0.6075,1999.0
0.605,0.6020837930163686,0.605,0.6011696349509829,vif,21.0,21.0,grid search,Logistic Regression,"LogisticRegression(C=6.55128556859551e-05, class_weight=None, dual=False,
                   fit_intercept=True, intercept_scaling=1, l1_ratio=0,
                   max_iter=110, multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='saga', tol=0.0001, verbose=0,
                   warm_start=False)",iqr,387.0,0.6069348935226264,0.605,0.605,1999.0
0.5875,0.5634429862902353,0.5875,0.6054661884090682,vif,21.0,21.0,nothing,Neural Net,"MLPClassifier(activation='relu', alpha=1, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(100,), learning_rate='constant',
              learning_rate_init=0.001, max_iter=1000, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=None, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",iqr,387.0,0.5608271514742798,0.5875,0.5875,1999.0
0.6875,0.6813620166835794,0.6875,0.6868879635719505,vif,21.0,21.0,randomized search,Neural Net,"MLPClassifier(activation='relu', alpha=0.1, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=14, learning_rate='constant',
              learning_rate_init=0.001, max_iter=1400, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=9, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",iqr,387.0,0.6876093351093351,0.6875,0.6875,1999.0
0.645,0.6460782944494212,0.645,0.637501218032359,vif,21.0,21.0,grid search,Neural Net,"MLPClassifier(activation='relu', alpha=0.1, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=10, learning_rate='constant',
              learning_rate_init=0.001, max_iter=1000, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=3, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",iqr,387.0,0.674786043449638,0.645,0.645,1999.0
0.3425,0.3429958688081608,0.3425,0.34152926938435896,vif,21.0,21.0,nothing,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=5, max_features=1, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=10,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",iqr,387.0,0.4083689616197356,0.3425,0.3425,1999.0
0.84,0.8381578291477326,0.8399999999999999,0.8381829226524133,vif,21.0,21.0,randomized search,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=40, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=40,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",iqr,387.0,0.8487735738357363,0.84,0.84,1999.0
0.835,0.8343657956466638,0.835,0.8327397755303094,vif,21.0,21.0,grid search,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=30, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=18,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",iqr,387.0,0.8431086688540818,0.835,0.835,1999.0
0.2525,0.10079840319361277,0.2525,0.4031936127744511,vif,21.0,21.0,nothing,SVM Sigmoid,"SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",iqr,387.0,0.063125,0.2525,0.2525,1999.0
0.2525,0.10079840319361277,0.2525,0.4031936127744511,vif,21.0,21.0,randomized search,SVM Sigmoid,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",iqr,387.0,0.063125,0.2525,0.2525,1999.0
0.2525,0.10079840319361277,0.2525,0.4031936127744511,vif,21.0,21.0,grid search,SVM Sigmoid,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",iqr,387.0,0.063125,0.2525,0.2525,1999.0
0.9725,0.9725382424475166,0.9725,0.972385102211759,vif,21.0,21.0,nothing,SVM Linear,"SVC(C=0.025, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='auto_deprecated',
    kernel='linear', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",iqr,387.0,0.9730939545629573,0.9725,0.9725,1999.0
0.9725,0.9722084008173412,0.9725,0.9724087274377683,vif,21.0,21.0,randomized search,SVM Linear,"SVC(C=0.001, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=5, gamma='auto_deprecated',
    kernel='linear', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",iqr,387.0,0.9730947104730706,0.9725,0.9725,1999.0
0.9725,0.9722084008173412,0.9725,0.9724087274377683,vif,21.0,21.0,grid search,SVM Linear,"SVC(C=0.001, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma='auto_deprecated',
    kernel='linear', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",iqr,387.0,0.9730947104730706,0.9725,0.9725,1999.0
0.2525,0.10079840319361277,0.2525,0.4031936127744511,vif,21.0,21.0,nothing,SVM RBF,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma=2, kernel='rbf', max_iter=-1,
    probability=False, random_state=None, shrinking=True, tol=0.001,
    verbose=False)",iqr,387.0,0.063125,0.2525,0.2525,1999.0
0.2525,0.10079840319361277,0.2525,0.4031936127744511,vif,21.0,21.0,randomized search,SVM RBF,"SVC(C=0.01, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=573.6152510448682,
    kernel='rbf', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",iqr,387.0,0.063125,0.2525,0.2525,1999.0
0.3575,0.2876163043887333,0.3575,0.4233827168425636,vif,21.0,21.0,grid search,SVM RBF,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=0.0001, kernel='rbf',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",iqr,387.0,0.7915152015862525,0.3575,0.3575,1999.0
0.5825,0.5258018996237022,0.5825,0.6288331708754589,vif,21.0,21.0,nothing,QDA,"QuadraticDiscriminantAnalysis(priors=None, reg_param=0.0,
                              store_covariance=False, tol=0.0001)",iqr,387.0,0.5749309758946586,0.5825,0.5825,1999.0
0.4275,0.4169493009271295,0.4275,0.4392230570746336,vif,21.0,21.0,nothing,Naive Bayes,"GaussianNB(priors=None, var_smoothing=1e-09)",iqr,387.0,0.6742235447275433,0.4275,0.4275,1999.0
0.8725,0.8710618210639851,0.8725,0.8701930369801701,vif,21.0,21.0,nothing,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
                           solver='svd', store_covariance=False, tol=0.0001)",iqr,387.0,0.8906746031746031,0.8725,0.8725,1999.0
0.5575,0.5335609448432821,0.5575,0.5858418849078435,cor,21.0,21.0,nothing,AdaBoost,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None, learning_rate=1.0,
                   n_estimators=50, random_state=None)",z_score,1600.0,0.7081894498014747,0.5575,0.5575,1999.0
